,route_id,points
15,sim_30,"[(747.2, 1599.05), (946.7142857142857, 1296.7619047619048), (895.4, 859.5), (985.4651162790698, 832.0930232558139), (852.375, 743.7916666666666)]"
16,sim_31,"[(805.6818181818181, 1815.5454545454545), (259.0, 1608.85), (800.4615384615385, 1380.3846153846155), (491.4, 1141.0666666666666), (985.4651162790698, 832.0930232558139), (762.1428571428571, 793.4285714285714), (1337.5454545454545, 754.4090909090909), (1481.2, 712.6), (1982.8181818181818, 605.9090909090909), (1744.0833333333333, 593.1666666666666), (1844.8666666666666, 525.4), (2050.705882352941, 448.6470588235294)]"
17,sim_32,"[(747.2, 1599.05), (349.0, 1480.3076923076924), (231.83333333333334, 1213.0), (581.1538461538462, 1123.076923076923), (216.28571428571428, 994.2142857142857), (670.1212121212121, 872.7878787878788), (1063.0, 828.6), (852.375, 743.7916666666666)]"
18,sim_33,"[(368.07142857142856, 1804.2857142857142), (22.181818181818183, 1676.3636363636363), (349.0, 1480.3076923076924), (231.83333333333334, 1213.0), (491.4, 1141.0666666666666), (963.1538461538462, 985.5384615384615), (693.1363636363636, 793.8636363636364), (762.1428571428571, 793.4285714285714), (852.375, 743.7916666666666)]"
19,sim_34,"[(945.0769230769231, 1727.6923076923076), (954.1111111111111, 1395.5925925925926), (670.1212121212121, 872.7878787878788), (852.375, 743.7916666666666)]"
20,sim_40,"[(332.8125, 1706.5625), (357.5625, 1148.125), (580.9130434782609, 1147.1739130434783), (541.8666666666667, 886.0666666666667), (793.5428571428571, 358.4), (572.8666666666667, 305.0)]"
21,sim_41,"[(2757.75, 1832.35), (2666.2820512820513, 1547.3076923076924), (2483.3150684931506, 1295.849315068493)]"
22,sim_42,"[(600.0454545454545, 1645.4545454545455), (410.0416666666667, 1407.3333333333333), (428.45, 967.55), (232.61904761904762, 441.6190476190476), (793.5428571428571, 358.4), (572.8666666666667, 305.0)]"
23,sim_43,"[(185.3, 1770.45), (470.45454545454544, 1323.5454545454545), (580.9130434782609, 1147.1739130434783), (927.2333333333333, 659.0333333333333), (793.5428571428571, 358.4), (572.8666666666667, 305.0)]"
24,sim_44,"[(185.3, 1770.45), (473.25, 1708.5), (450.7307692307692, 1243.1153846153845), (541.8666666666667, 886.0666666666667), (572.8666666666667, 305.0)]"
25,sim_50,"[(1821.4464285714287, 991.1964285714286), (1502.4186046511627, 951.046511627907), (1212.4705882352941, 462.5), (1526.0, 110.2258064516129), (947.1428571428571, 11.0), (773.7857142857143, 8.857142857142858)]"
26,sim_51,"[(732.9655172413793, 895.4827586206897), (766.6842105263158, 718.421052631579), (422.76, 433.16), (773.7857142857143, 8.857142857142858)]"
27,sim_52,"[(1079.611111111111, 983.2777777777778), (732.9655172413793, 895.4827586206897), (874.1777777777778, 467.4), (1068.8157894736842, 316.1578947368421), (852.4166666666666, 203.25), (580.5454545454545, 39.72727272727273), (773.7857142857143, 8.857142857142858)]"
28,sim_53,"[(1502.4186046511627, 951.046511627907), (1792.6637168141592, 534.9026548672566), (1912.1666666666667, 258.94444444444446), (1526.0, 110.2258064516129), (947.1428571428571, 11.0), (773.7857142857143, 8.857142857142858)]"
29,sim_54,"[(732.9655172413793, 895.4827586206897), (445.75, 562.125), (422.76, 433.16), (773.7857142857143, 8.857142857142858)]"
30,sim_60,"[(597.1538461538462, 1494.923076923077), (610.4, 898.4), (616.7142857142857, 682.4285714285714), (1111.5625, 595.5625), (635.1578947368421, 360.10526315789474), (962.1818181818181, 165.0)]"
31,sim_61,"[(2554.5333333333333, 1809.0666666666666), (2724.923076923077, 1329.0), (2600.8, 1250.8666666666666), (2716.9333333333334, 1006.5333333333333), (2725.4, 815.0666666666667), (2628.2, 723.2), (2199.6470588235293, 722.8823529411765), (2070.7283950617284, 366.18518518518516), (2518.1666666666665, 9.0)]"
32,sim_62,"[(2554.5333333333333, 1809.0666666666666), (2284.214285714286, 1566.2857142857142), (1777.6153846153845, 1432.0), (1568.5625, 1131.0625), (1020.0967741935484, 1062.8709677419354), (741.4444444444445, 956.5555555555555), (1052.6666666666667, 821.9333333333333), (632.3333333333334, 534.5833333333334), (635.1578947368421, 360.10526315789474), (962.1818181818181, 165.0)]"
33,sim_63,"[(1200.4666666666667, 1649.2), (1453.2727272727273, 1345.2727272727273), (1118.1818181818182, 1137.909090909091), (1319.5555555555557, 1017.4444444444445), (1111.5625, 595.5625), (635.1578947368421, 360.10526315789474), (962.1818181818181, 165.0)]"
34,sim_64,"[(2284.214285714286, 1566.2857142857142), (2299.285714285714, 989.2857142857143), (2725.4, 815.0666666666667), (2628.2, 723.2), (2592.0, 397.6), (2518.4, 101.6), (2724.769230769231, 53.61538461538461), (2518.1666666666665, 9.0)]"
35,sim_70,"[(919.3333333333334, 1776.857142857143), (1006.0909090909091, 1538.0454545454545), (456.1190476190476, 1313.904761904762), (799.3103448275862, 1267.2068965517242), (744.0416666666666, 720.7916666666666), (1188.4375, 408.0625), (1579.1818181818182, 356.3181818181818), (1448.2222222222222, 13.88888888888889), (1524.1, 13.1), (1940.6666666666667, 5.666666666666667)]"
36,sim_71,"[(1998.7692307692307, 1372.3846153846155), (2378.7741935483873, 1086.6451612903227), (2539.375, 953.25), (2748.5, 502.9375), (2555.3333333333335, 24.0)]"
37,sim_72,"[(1998.7692307692307, 1372.3846153846155), (2220.6153846153848, 1331.2307692307693), (2341.4210526315787, 1205.3684210526317), (2378.7741935483873, 1086.6451612903227), (2770.75, 936.125), (2537.625, 620.125), (2155.0, 189.1764705882353), (2555.3333333333335, 24.0)]"
38,sim_73,"[(1606.7142857142858, 1418.4285714285713), (1606.1538461538462, 1068.8076923076924), (1355.3666666666666, 834.4), (1609.15, 579.8), (1448.2222222222222, 13.88888888888889), (1524.1, 13.1), (1940.6666666666667, 5.666666666666667)]"
39,sim_74,"[(1998.7692307692307, 1372.3846153846155), (2220.6153846153848, 1331.2307692307693), (1884.0344827586207, 984.0689655172414), (2101.8709677419356, 665.5806451612904), (1933.0, 163.45), (1940.6666666666667, 5.666666666666667)]"
40,sim_80,"[(237.84615384615384, 1404.0), (45.125, 933.3125), (223.28571428571428, 446.7142857142857), (355.625, 425.25), (280.75, 381.125), (505.3529411764706, 319.47058823529414), (921.1666666666666, 293.75), (1007.0625, 172.125), (1244.4666666666667, 65.06666666666666), (1467.8181818181818, 36.63636363636363)]"
41,sim_81,"[(613.9090909090909, 1637.090909090909), (652.3333333333334, 1459.9166666666667), (208.6, 1306.8), (78.5, 881.125), (126.85714285714286, 687.0), (355.625, 425.25), (505.3529411764706, 319.47058823529414), (1007.0625, 172.125), (1244.4666666666667, 65.06666666666666), (1467.8181818181818, 36.63636363636363)]"
42,sim_82,"[(2224.1666666666665, 1798.8333333333333), (2751.1666666666665, 1643.4166666666667), (2783.6, 1403.6), (2685.56, 880.68), (2558.1363636363635, 472.5), (2479.846153846154, 104.46153846153847)]"
43,sim_83,"[(2751.1666666666665, 1643.4166666666667), (2783.6, 1403.6), (2685.56, 880.68), (2148.0, 685.55), (1577.842105263158, 573.6315789473684), (1176.0333333333333, 370.96666666666664), (1108.4, 361.6666666666667), (921.1666666666666, 293.75), (1007.0625, 172.125), (1467.8181818181818, 36.63636363636363)]"
44,sim_84,"[(2783.6, 1403.6), (2685.56, 880.68), (2148.0, 685.55), (2558.1363636363635, 472.5), (2479.846153846154, 104.46153846153847)]"
45,sim_90,"[(1703.0, 1841.4444444444443), (2097.846153846154, 1790.2307692307693), (1775.5555555555557, 1780.0), (1665.6153846153845, 1308.0), (1233.75, 995.4166666666666), (1023.375, 881.3333333333334), (1542.0833333333333, 814.1666666666666), (2069.9411764705883, 664.9411764705883), (2325.4615384615386, 594.7692307692307), (1846.7, 543.15), (1652.857142857143, 475.42857142857144)]"
46,sim_91,"[(1703.0, 1841.4444444444443), (2095.4545454545455, 1757.8181818181818), (2446.0714285714284, 1439.142857142857), (2227.52, 1187.16), (2383.153846153846, 738.5384615384615), (2325.4615384615386, 594.7692307692307), (1846.7, 543.15), (1652.857142857143, 475.42857142857144)]"
47,sim_92,"[(1775.5555555555557, 1780.0), (1810.625, 1484.125), (1665.6153846153845, 1308.0), (2227.52, 1187.16), (2055.6875, 845.9375), (1652.857142857143, 475.42857142857144)]"
48,sim_93,"[(2095.4545454545455, 1757.8181818181818), (1810.625, 1484.125), (2336.7, 1306.7), (2536.923076923077, 1223.076923076923), (2435.133333333333, 866.7333333333333), (2197.9333333333334, 829.6), (2069.9411764705883, 664.9411764705883), (1652.857142857143, 475.42857142857144)]"
49,sim_94,"[(2097.846153846154, 1790.2307692307693), (2328.7, 1567.5), (1986.3333333333333, 1305.4444444444443), (1412.111111111111, 1292.5), (1991.8235294117646, 1215.8823529411766), (2055.6875, 845.9375), (2069.9411764705883, 664.9411764705883), (1846.7, 543.15), (1652.857142857143, 475.42857142857144)]"
50,sim_100,"[(617.3846153846154, 1808.923076923077), (541.25, 1692.4375), (554.6666666666666, 1544.6), (1057.7333333333333, 1267.6), (1008.7391304347826, 1172.3478260869565), (633.4, 962.4), (642.8095238095239, 939.4761904761905), (248.83333333333334, 926.4166666666666), (522.3076923076923, 508.46153846153845), (769.4411764705883, 286.5882352941176)]"
51,sim_101,"[(617.3846153846154, 1808.923076923077), (593.625, 1426.0833333333333), (1057.7333333333333, 1267.6), (920.1666666666666, 1192.0833333333333), (1102.8076923076924, 645.8461538461538), (1158.8095238095239, 609.9047619047619), (1307.1, 363.85), (769.4411764705883, 286.5882352941176)]"
52,sim_102,"[(2088.529411764706, 1614.1764705882354), (2128.6, 1599.8), (1946.7142857142858, 1193.5357142857142), (1524.2222222222222, 1157.3333333333333), (1987.7777777777778, 919.2777777777778), (1637.7142857142858, 472.5357142857143), (1858.5, 258.0833333333333), (1975.5, 190.21428571428572), (1957.8333333333333, 171.25), (1961.409090909091, 72.9090909090909)]"
53,sim_103,"[(1339.5384615384614, 1620.3076923076924), (1344.5882352941176, 1318.764705882353), (1578.4516129032259, 1263.4193548387098), (1339.1818181818182, 773.1818181818181), (1158.8095238095239, 609.9047619047619), (769.4411764705883, 286.5882352941176)]"
54,sim_104,"[(617.3846153846154, 1808.923076923077), (1127.642857142857, 1582.9285714285713), (920.1666666666666, 1192.0833333333333), (1339.1818181818182, 773.1818181818181), (1637.7142857142858, 472.5357142857143), (1307.1, 363.85), (1769.5, 270.4), (1957.8333333333333, 171.25), (1961.409090909091, 72.9090909090909)]"
55,sim_110,"[(483.57142857142856, 1427.2142857142858), (309.3666666666667, 1340.9333333333334), (383.3157894736842, 1160.421052631579), (686.0666666666667, 756.0333333333333), (852.7142857142857, 640.3571428571429), (1359.3548387096773, 485.80645161290323), (1712.5416666666667, 236.20833333333334), (2275.6875, 147.0625)]"
56,sim_111,"[(352.75, 1558.0), (483.57142857142856, 1427.2142857142858), (617.8421052631579, 1283.3684210526317), (383.3157894736842, 1160.421052631579), (686.0666666666667, 756.0333333333333), (852.7142857142857, 640.3571428571429), (1359.3548387096773, 485.80645161290323), (1508.3947368421052, 369.2894736842105), (1712.5416666666667, 236.20833333333334), (2275.6875, 147.0625)]"
57,sim_112,"[(352.75, 1558.0), (617.8421052631579, 1283.3684210526317), (614.9, 825.8), (991.75, 824.65), (686.0666666666667, 756.0333333333333), (852.7142857142857, 640.3571428571429), (1359.3548387096773, 485.80645161290323), (1508.3947368421052, 369.2894736842105), (1712.5416666666667, 236.20833333333334), (2275.6875, 147.0625)]"
58,sim_113,"[(458.0, 1581.7777777777778), (617.8421052631579, 1283.3684210526317), (383.3157894736842, 1160.421052631579), (686.0666666666667, 756.0333333333333), (852.7142857142857, 640.3571428571429), (1359.3548387096773, 485.80645161290323), (1712.5416666666667, 236.20833333333334), (2275.6875, 147.0625)]"
59,sim_114,"[(1077.421052631579, 1357.7368421052631), (617.8421052631579, 1283.3684210526317), (991.75, 824.65), (1359.3548387096773, 485.80645161290323), (1712.5416666666667, 236.20833333333334), (2275.6875, 147.0625)]"
60,sim_120,"[(2148.8333333333335, 1635.3333333333333), (1614.0, 1546.9333333333334), (1606.5, 1402.5), (2155.681818181818, 1313.0), (1661.578947368421, 1061.0526315789473), (1686.9166666666667, 663.5833333333334), (1415.4166666666667, 440.2083333333333), (918.425, 370.75), (713.5294117647059, 338.05882352941177), (512.7142857142857, 278.14285714285717)]"
61,sim_121,"[(1360.3333333333333, 1839.9166666666667), (1327.3809523809523, 1560.5714285714287), (1023.0, 1340.9), (1318.4545454545455, 1128.909090909091), (1166.8666666666666, 778.4), (934.3636363636364, 722.1818181818181), (1225.4545454545455, 542.3636363636364), (974.8333333333334, 471.1666666666667), (918.425, 370.75), (512.7142857142857, 278.14285714285717)]"
62,sim_122,"[(2535.3, 1535.9), (2110.0, 1134.6666666666667), (2089.8846153846152, 1075.2307692307693), (1661.578947368421, 1061.0526315789473), (2024.2, 983.8), (2487.3548387096776, 857.7741935483871), (2425.6, 731.4), (2235.0833333333335, 566.3333333333334), (2210.5714285714284, 275.2857142857143)]"
63,sim_123,"[(603.3333333333334, 1662.0), (183.04347826086956, 1269.7391304347825), (38.15384615384615, 964.2307692307693), (196.31578947368422, 549.578947368421), (611.0526315789474, 462.36842105263156), (300.9130434782609, 394.0869565217391), (105.25, 323.375), (512.7142857142857, 278.14285714285717)]"
64,sim_124,"[(2689.0, 1561.0), (2582.8571428571427, 1131.7142857142858), (2700.3333333333335, 1004.8333333333334), (2478.1111111111113, 684.8888888888889), (2062.722222222222, 296.0), (2210.5714285714284, 275.2857142857143)]"
65,sim_130,"[(1262.125, 1840.3125), (732.9411764705883, 1810.4705882352941), (853.5652173913044, 1401.9130434782608), (1060.625, 899.4375), (905.3846153846154, 473.3076923076923), (1440.4117647058824, 454.8529411764706)]"
66,sim_131,"[(786.4444444444445, 1732.5555555555557), (807.75, 1402.875), (1060.625, 899.4375), (905.3846153846154, 473.3076923076923), (1440.4117647058824, 454.8529411764706)]"
67,sim_132,"[(786.4444444444445, 1732.5555555555557), (807.75, 1402.875), (853.5652173913044, 1401.9130434782608), (354.3333333333333, 1085.6363636363637), (685.2758620689655, 933.6896551724138), (919.0294117647059, 724.8529411764706), (1410.0, 684.9285714285714), (1440.4117647058824, 454.8529411764706)]"
68,sim_133,"[(732.9411764705883, 1810.4705882352941), (417.55555555555554, 1720.0555555555557), (81.14285714285714, 1314.5), (640.5882352941177, 1277.5882352941176), (62.07692307692308, 1218.3846153846155), (354.3333333333333, 1085.6363636363637), (685.2758620689655, 933.6896551724138), (1103.421052631579, 506.4736842105263), (905.3846153846154, 473.3076923076923), (1440.4117647058824, 454.8529411764706)]"
69,sim_134,"[(2791.75, 1801.25), (2715.5384615384614, 1368.6923076923076), (2590.7391304347825, 1065.4347826086957), (2652.0, 473.8)]"
70,sim_140,"[(1784.3684210526317, 1385.421052631579), (2064.8333333333335, 1344.5555555555557), (2063.25, 1045.9166666666667), (1873.391304347826, 822.3478260869565), (1799.4444444444443, 482.3333333333333), (2002.391304347826, 241.34782608695653), (2487.4210526315787, 230.52631578947367), (2078.4166666666665, 168.91666666666666), (1693.642857142857, 41.0), (1619.5, 4.75)]"
71,sim_141,"[(1577.25, 1590.625), (1797.2666666666667, 1048.9333333333334), (2065.3571428571427, 844.0714285714286), (1799.5833333333333, 634.1666666666666), (2341.5333333333333, 523.8), (2448.2105263157896, 518.3684210526316), (2501.2380952380954, 44.285714285714285)]"
72,sim_142,"[(2122.5714285714284, 1426.7857142857142), (2191.2, 1152.2666666666667), (1832.9333333333334, 1147.6666666666667), (2063.25, 1045.9166666666667), (1985.1764705882354, 753.4705882352941), (2408.3125, 658.375), (2480.4285714285716, 324.95238095238096), (2675.6363636363635, 142.9090909090909), (2501.2380952380954, 44.285714285714285)]"
73,sim_143,"[(2672.4736842105262, 1733.421052631579), (2266.8, 1303.4), (2121.3636363636365, 853.7272727272727), (2146.7368421052633, 279.0), (2002.391304347826, 241.34782608695653), (2487.4210526315787, 230.52631578947367), (2675.6363636363635, 142.9090909090909), (2501.2380952380954, 44.285714285714285)]"
74,sim_144,"[(513.5, 1366.1), (424.1818181818182, 1220.6363636363637), (696.5833333333334, 1037.7916666666667), (226.27272727272728, 863.6363636363636), (682.75, 805.7), (269.04347826086956, 556.3478260869565), (775.6111111111111, 505.0), (1006.1818181818181, 300.22727272727275), (902.0, 7.0)]"
