group,height,weight,ape_index,strength,flexibility,leg_len_factor
elite,176.4,58.5,1.04,114,9,0.43737322037491905
elite,177.4,79.0,1.05,100,9,0.5335140953713522
elite,180.3,79.3,0.99,96,9,0.5284219272101593
elite,167.1,85.5,1.09,100,9,0.4910221912116527
elite,161.3,78.0,1.05,107,9,0.4872483168903
elite,166.5,50.7,1.07,109,9,0.5813701673503857
elite,175.2,65.7,1.06,113,8,0.5375112577226704
elite,198.1,76.8,1.07,103,9,0.5548033002537346
elite,173.9,38.9,1.04,99,8,0.505579976158179
elite,179.9,64.1,1.06,103,9,0.5286240364055202
elite,172.1,73.2,1.08,99,9,0.46417498716724553
elite,177.4,65.5,1.05,114,8,0.4683225336619845
elite,163.8,71.1,1.09,100,9,0.5167159320685051
elite,162.1,61.3,1.03,109,8,0.4819633957461849
elite,168.9,64.6,1.03,107,9,0.5419442273223036
elite,181.0,88.0,1.07,99,8,0.5387072448074414
elite,166.3,72.6,1.02,109,8,0.4906626506282105
elite,172.4,53.1,1.03,103,8,0.5004995446229944
elite,200.3,85.9,1.04,102,8,0.6013271633995336
elite,173.0,56.8,1.05,105,9,0.5583032712643523
elite,173.0,88.3,1.04,113,9,0.5883883717501902
elite,185.6,89.1,1.08,105,8,0.49464443019150495
elite,172.2,77.9,1.05,113,9,0.5809353720438876
elite,158.7,97.3,0.99,107,8,0.5983116544046068
elite,177.1,70.8,1.03,113,9,0.5729224089225972
elite,160.8,64.4,1.07,99,9,0.5008461615991846
elite,184.2,67.8,1.07,105,8,0.5780984461973977
elite,163.3,69.4,1.09,95,9,0.57067504201779
elite,167.1,72.2,1.01,96,9,0.601026333417835
elite,190.8,68.5,1.08,100,8,0.4858012185525055
